instance,bays,tiers,id,lb,Random_cost,Random_gap,Random_time,NearestStack_cost,NearestStack_gap,NearestStack_time,LowestHeight_cost,LowestHeight_gap,LowestHeight_time,Leveling_cost,Leveling_gap,Leveling_time,Lin2015_cost,Lin2015_gap,Lin2015_time,Kim2016_cost,Kim2016_gap,Kim2016_time,Durasevic2025_cost,Durasevic2025_gap,Durasevic2025_time,ZeroShot_cost,ZeroShot_gap
R041606_0280_005,4,6,5,28696.6,60470.9,110.72,0.465,52918.3,84.41,0.612,49654.3,73.03,0.497,33476.2,16.66,1.809,34198.4,19.17,1.077,40607.1,41.5,1.008,42934.2,49.61,1.447,29845.6,4.0
R041608_0380_001,4,8,1,39623.0,104588.3,163.96,0.988,78914.1,99.16,1.072,81440.7,105.54,0.827,52543.4,32.61,3.485,51537.4,30.07,1.73,61463.8,55.12,1.658,62647.1,58.11,1.979,43001.1,8.53
R041608_0380_002,4,8,2,39272.6,110841.9,182.24,0.927,90342.5,130.04,1.305,85674.4,118.15,0.97,52856.6,34.59,3.787,53612.3,36.51,1.809,62074.8,58.06,1.698,63818.4,62.5,2.038,43747.7,11.39
R041608_0380_003,4,8,3,38556.6,100319.0,160.19,0.841,79492.4,106.17,1.077,80309.1,108.29,0.829,49151.4,27.48,8.392,50595.4,31.22,4.668,61637.1,59.86,4.318,61728.6,60.1,5.093,41951.3,8.8
R041608_0380_004,4,8,4,39542.9,103186.7,160.95,2.123,82458.3,108.53,4.303,78933.7,99.62,2.059,50831.3,28.55,9.858,50834.8,28.56,4.894,61854.5,56.42,4.332,62659.0,58.46,5.305,42857.3,8.38
R041608_0380_005,4,8,5,39399.0,107323.8,172.4,2.253,83375.6,111.62,2.777,82416.8,109.19,2.193,52264.2,32.65,9.754,52599.8,33.51,4.982,60891.4,54.55,4.158,63473.6,61.1,5.368,42751.4,8.51
R061606_0430_001,6,6,1,46704.5,107969.8,131.18,2.064,89506.2,91.64,2.528,86630.8,85.49,2.088,55927.7,19.75,11.229,58948.1,26.22,5.883,68722.7,47.14,5.215,69000.3,47.74,6.756,48735.6,4.35
R061606_0430_002,6,6,2,45977.8,105984.3,130.51,1.999,81463.9,77.18,2.247,84601.0,84.0,2.045,54827.8,19.25,10.823,57719.8,25.54,5.684,64888.6,41.13,4.919,67651.3,47.14,5.681,48537.2,5.57
R061606_0430_003,6,6,3,45840.0,105655.8,130.49,1.232,87086.7,89.98,1.73,83402.1,81.94,1.389,54010.8,17.82,5.497,58430.4,27.47,3.143,67060.4,46.29,2.848,67944.9,48.22,3.603,47948.0,4.6
R061606_0430_004,6,6,4,45533.4,102234.5,124.53,1.022,86548.8,90.08,1.445,80359.8,76.49,1.141,53319.0,17.1,5.166,56258.6,23.55,3.808,65884.7,44.7,2.593,67626.1,48.52,3.451,47466.2,4.24
R061606_0430_005,6,6,5,46105.3,109392.2,137.27,1.141,82979.6,79.98,1.782,87712.0,90.24,1.328,55260.1,19.86,5.666,57599.6,24.93,3.297,68691.0,48.99,5.753,69248.2,50.2,9.171,48757.7,5.75
R061608_0570_001,6,8,1,62023.6,164275.5,164.86,3.13,133709.8,115.58,4.824,132428.6,113.51,3.336,78510.4,26.58,17.882,79382.7,27.99,5.032,96977.9,56.36,4.22,95921.3,54.65,5.05,68323.9,10.16
R061608_0570_002,6,8,2,62080.0,168686.2,171.72,1.663,138601.1,123.26,2.377,137599.5,121.65,1.891,80190.4,29.17,9.442,85518.2,37.75,4.958,100282.0,61.54,4.263,98161.5,58.12,5.158,68204.9,9.87
R061608_0570_003,6,8,3,62551.8,168250.9,168.98,1.689,140435.0,124.51,2.409,132200.6,111.35,1.754,79087.8,26.44,16.468,82317.3,31.6,9.38,96864.2,54.85,7.918,96407.8,54.12,10.116,67702.6,8.23
R061608_0570_004,6,8,4,62960.8,169347.2,168.97,3.243,130797.9,107.74,3.926,136435.9,116.7,3.407,82841.2,31.58,19.687,83512.9,32.64,9.275,100084.0,58.96,8.481,97213.7,54.4,10.018,68556.1,8.89
R061608_0570_005,6,8,5,63951.0,170767.5,167.03,3.232,133356.0,108.53,4.157,137094.2,114.37,3.445,82665.0,29.26,19.188,83853.8,31.12,10.004,99795.3,56.05,8.566,98448.0,53.94,10.36,69358.7,8.46
R081606_0570_001,8,6,1,63535.5,144388.1,127.26,2.582,119284.5,87.74,3.184,114703.2,80.53,2.804,73761.9,16.1,16.664,75358.7,18.61,9.479,91038.7,43.29,8.164,93036.6,46.43,10.624,65756.6,3.5
R081606_0570_002,8,6,2,63783.9,149938.8,135.07,2.667,111112.1,74.2,2.936,118739.6,86.16,2.842,74013.9,16.04,16.957,78655.2,23.32,9.493,93091.0,45.95,8.395,93839.4,47.12,10.772,66574.2,4.37
R081606_0570_003,8,6,3,64565.3,150680.4,133.38,2.737,121670.5,88.45,3.179,118440.0,83.44,2.957,76211.3,18.04,18.486,80899.7,25.3,9.95,96144.7,48.91,8.769,95818.6,48.41,11.113,68118.0,5.5
R081606_0570_004,8,6,4,63768.9,144174.7,126.09,2.593,120064.5,88.28,3.204,116759.3,83.1,2.829,75692.1,18.7,18.54,80240.3,25.83,9.616,93643.3,46.85,8.515,93539.9,46.69,10.835,67017.5,5.09
R081606_0570_005,8,6,5,64902.9,146930.2,126.38,2.668,117043.2,80.34,3.078,121086.5,86.57,2.97,76571.7,17.98,18.287,80889.4,24.63,9.294,94691.4,45.9,8.421,93787.2,44.5,10.595,67575.0,4.12
R101606_0720_001,10,6,1,83976.4,195438.8,132.73,3.382,156025.9,85.8,4.044,158415.0,88.64,4.013,98776.0,17.62,27.532,100967.8,20.23,14.422,123121.3,46.61,12.576,121674.1,44.89,16.031,88172.8,5.0
R101606_0720_002,10,6,2,82196.0,186192.3,126.52,3.243,152446.2,85.47,4.024,151552.2,84.38,3.839,94424.0,14.88,24.095,100752.4,22.58,3.86,122692.0,49.27,4.197,117175.3,42.56,5.876,86091.5,4.74
R101606_0720_003,10,6,3,82932.9,189828.3,128.89,1.371,151113.9,82.21,1.742,152793.9,84.24,1.546,96536.1,16.4,10.263,100281.1,20.92,12.124,124620.8,50.27,12.625,119507.3,44.1,18.342,87036.6,4.95
R101606_0720_004,10,6,4,83099.2,183314.3,120.6,3.365,147081.9,77.0,3.913,152810.6,83.89,3.775,96428.8,16.04,24.613,102336.2,23.15,13.947,120560.1,45.08,12.282,118818.4,42.98,15.505,87146.4,4.87
R101606_0720_005,10,6,5,82410.5,185809.2,125.47,3.279,156431.0,89.82,4.139,152314.9,84.82,3.884,97220.9,17.97,27.474,99954.3,21.29,13.889,119516.8,45.03,12.378,117607.6,42.71,15.631,86405.0,4.85
