instance,n_cranes,method,cost,lb_mc,gap,interference,n_steps,time_s
mc_R021608_002_c2.txt,2,M-Lin2015,21057.3,15133.7,39.14,0.0,0,1.762
mc_R021608_002_c3.txt,3,ZS+S2,17354.1,15353.8,13.03,0.0,146,0.0
mc_R021608_002_c3.txt,3,M-Lin2015,21057.3,15353.8,37.15,0.0,0,1.79
mc_R021608_003_c2.txt,2,ZS+S2,17851.2,16095.9,10.91,0.0,147,0.0
mc_R021608_003_c2.txt,2,M-Lin2015,22558.8,16095.9,40.15,0.0,0,1.688
mc_R021608_003_c3.txt,3,ZS+S2,17894.7,16303.1,9.76,0.0,147,0.0
mc_R021608_003_c3.txt,3,M-Lin2015,22558.8,16303.1,38.37,0.0,0,1.669
mc_R021608_004_c2.txt,2,ZS+S2,17081.4,15524.0,10.03,0.0,139,0.0
mc_R021608_004_c2.txt,2,M-Lin2015,20918.4,15524.0,34.75,0.0,0,1.563
mc_R021608_004_c3.txt,3,ZS+S2,17124.9,15733.0,8.85,0.0,139,0.0
mc_R021608_004_c3.txt,3,M-Lin2015,20918.4,15733.0,32.96,0.0,0,1.543
mc_R021608_005_c2.txt,2,ZS+S2,17497.2,15828.3,10.54,0.0,146,0.0
mc_R021608_005_c2.txt,2,M-Lin2015,22192.5,15828.3,40.21,0.0,0,1.664
mc_R021608_005_c3.txt,3,ZS+S2,17540.7,16050.3,9.29,0.0,146,0.0
mc_R021608_005_c3.txt,3,M-Lin2015,22192.5,16050.3,38.27,0.0,0,1.68
mc_R041606_001_c2.txt,2,ZS+S2,30191.2,26817.4,12.58,0.0,194,0.0
mc_R041606_001_c2.txt,2,M-Lin2015,36750.4,26817.4,37.04,0.0,0,3.337
mc_R041606_001_c3.txt,3,ZS+S2,29224.6,25958.8,12.58,0.0,194,0.0
mc_R041606_001_c3.txt,3,M-Lin2015,36750.4,25958.8,41.57,0.0,0,3.274
mc_R041606_002_c2.txt,2,ZS+S2,28153.6,25689.1,9.59,1.0,171,0.0
mc_R041606_002_c2.txt,2,M-Lin2015,35853.4,25689.1,39.57,0.0,0,2.898
mc_R041606_002_c3.txt,3,ZS+S2,27327.1,24916.9,9.67,1.0,171,0.0
mc_R041606_002_c3.txt,3,M-Lin2015,35853.4,24916.9,43.89,0.0,0,2.889
mc_R041606_003_c2.txt,2,ZS+S2,28091.2,25977.8,8.14,0.0,160,0.0
mc_R041606_003_c2.txt,2,M-Lin2015,33396.2,25977.8,28.56,0.0,0,2.81
mc_R041606_003_c3.txt,3,ZS+S2,26968.6,25248.8,6.81,0.0,160,0.0
mc_R041606_003_c3.txt,3,M-Lin2015,33396.2,25248.8,32.27,0.0,0,2.78
mc_R041606_004_c2.txt,2,ZS+S2,28802.8,25698.4,12.08,0.0,178,0.0
mc_R041606_004_c2.txt,2,M-Lin2015,34146.4,25698.4,32.87,0.0,0,2.933
mc_R041606_004_c3.txt,3,ZS+S2,27502.6,24910.0,10.41,0.0,178,0.0
mc_R041606_004_c3.txt,3,M-Lin2015,34146.4,24910.0,37.08,0.0,0,5.571
mc_R041606_005_c2.txt,2,ZS+S2,28897.8,26250.4,10.09,0.0,172,0.0
mc_R041606_005_c2.txt,2,M-Lin2015,34198.4,26250.4,30.28,0.0,0,2.845
mc_R041606_005_c3.txt,3,ZS+S2,27914.1,25435.0,9.75,0.0,172,0.0
mc_R041606_005_c3.txt,3,M-Lin2015,34198.4,25435.0,34.45,0.0,0,2.903
mc_R041608_001_c2.txt,2,ZS+S2,41683.5,36026.6,15.7,0.0,299,0.0
mc_R041608_001_c2.txt,2,M-Lin2015,51537.4,36026.6,43.05,0.0,0,4.847
mc_R041608_001_c3.txt,3,ZS+S2,40302.3,34827.8,15.72,0.0,299,0.0
mc_R041608_001_c3.txt,3,M-Lin2015,51537.4,34827.8,47.98,0.0,0,4.914
mc_R041608_002_c2.txt,2,ZS+S2,42123.3,35433.2,18.88,0.0,320,0.0
mc_R041608_002_c2.txt,2,M-Lin2015,53712.1,35433.2,51.59,0.0,0,4.956
mc_R041608_002_c3.txt,3,ZS+S2,40619.1,34153.4,18.93,0.0,320,0.0
mc_R041608_002_c3.txt,3,M-Lin2015,53712.1,34153.4,57.27,0.0,0,4.92
mc_R041608_003_c2.txt,2,ZS+S2,40533.7,34944.0,16.0,1.0,286,0.0
mc_R041608_003_c2.txt,2,M-Lin2015,50595.4,34944.0,44.79,0.0,0,4.647
mc_R041608_003_c3.txt,3,ZS+S2,38989.3,33739.8,15.56,1.0,286,0.0
mc_R041608_003_c3.txt,3,M-Lin2015,50595.4,33739.8,49.96,0.0,0,4.63
mc_R041608_004_c2.txt,2,ZS+S2,41387.3,35752.1,15.76,2.0,296,0.0
mc_R041608_004_c2.txt,2,M-Lin2015,50834.8,35752.1,42.19,0.0,0,2.422
mc_R041608_004_c3.txt,3,ZS+S2,39902.9,34488.5,15.7,3.0,296,0.0
mc_R041608_004_c3.txt,3,M-Lin2015,50834.8,34488.5,47.4,0.0,0,2.782
mc_R041608_005_c2.txt,2,ZS+S2,41249.6,35559.6,16.0,0.0,308,0.0
mc_R041608_005_c2.txt,2,M-Lin2015,52599.8,35559.6,47.92,0.0,0,2.11
mc_R041608_005_c3.txt,3,ZS+S2,39816.2,34279.8,16.15,0.0,308,0.0
mc_R041608_005_c3.txt,3,M-Lin2015,52599.8,34279.8,53.44,0.0,0,2.18
mc_R061606_001_c2.txt,2,ZS+S2,47633.3,42978.5,10.83,0.0,279,0.0
mc_R061606_001_c2.txt,2,M-Lin2015,58948.1,42978.5,37.16,0.0,0,4.188
mc_R061606_001_c3.txt,3,ZS+S2,46300.9,41736.5,10.94,0.0,279,0.0
mc_R061606_001_c3.txt,3,M-Lin2015,58948.1,41736.5,41.24,0.0,0,5.91
mc_R061606_002_c2.txt,2,ZS+S2,47157.8,42349.0,11.36,0.0,278,0.0
mc_R061606_002_c2.txt,2,M-Lin2015,57982.6,42349.0,36.92,0.0,0,5.664
mc_R061606_002_c3.txt,3,ZS+S2,46490.6,41139.4,13.01,0.0,278,0.0
mc_R061606_002_c3.txt,3,M-Lin2015,57292.8,41139.4,39.27,0.0,0,6.273
mc_R061606_003_c2.txt,2,ZS+S2,46566.9,42178.8,10.4,1.0,267,0.0
mc_R061606_003_c2.txt,2,M-Lin2015,58430.4,42178.8,38.53,0.0,0,5.772
mc_R061606_003_c3.txt,3,ZS+S2,45779.8,40958.4,11.77,0.0,267,0.0
mc_R061606_003_c3.txt,3,M-Lin2015,58430.4,40958.4,42.66,0.0,0,5.764
mc_R061606_004_c2.txt,2,ZS+S2,45930.7,42001.8,9.35,4.0,261,0.0
mc_R061606_004_c2.txt,2,M-Lin2015,55999.2,42001.8,33.33,0.0,0,5.714
mc_R061606_004_c3.txt,3,ZS+S2,44897.2,40824.6,9.98,2.0,261,0.0
mc_R061606_004_c3.txt,3,M-Lin2015,56258.6,40824.6,37.81,0.0,0,10.508
mc_R061606_005_c2.txt,2,ZS+S2,47427.9,42379.3,11.91,0.0,275,0.0
mc_R061606_005_c2.txt,2,M-Lin2015,57599.6,42379.3,35.91,0.0,0,5.983
mc_R061606_005_c3.txt,3,ZS+S2,46367.7,41137.3,12.71,1.0,275,0.0
mc_R061606_005_c3.txt,3,M-Lin2015,57599.6,41137.3,40.02,0.0,0,5.925
mc_R061608_001_c2.txt,2,ZS+S2,66368.1,56612.8,17.23,1.0,462,0.0
mc_R061608_001_c2.txt,2,M-Lin2015,79382.7,56612.8,40.22,0.0,0,8.28
mc_R061608_001_c3.txt,3,ZS+S2,65422.6,54809.2,19.36,2.0,462,0.0
mc_R061608_001_c3.txt,3,M-Lin2015,79382.7,54809.2,44.83,0.0,0,8.295
mc_R061608_002_c2.txt,2,ZS+S2,66205.2,56782.6,16.59,0.0,457,0.0
mc_R061608_002_c2.txt,2,M-Lin2015,85273.1,56782.6,50.17,0.0,0,9.456
mc_R061608_002_c3.txt,3,ZS+S2,65109.2,55016.8,18.34,1.0,457,0.0
mc_R061608_002_c3.txt,3,M-Lin2015,85518.2,55016.8,55.44,0.0,0,9.454
mc_R061608_003_c2.txt,2,ZS+S2,65802.7,56995.2,15.45,0.0,439,0.0
mc_R061608_003_c2.txt,2,M-Lin2015,82317.3,56995.2,44.43,0.0,0,8.87
mc_R061608_003_c3.txt,3,ZS+S2,64807.4,55143.0,17.53,0.0,439,0.0
mc_R061608_003_c3.txt,3,M-Lin2015,82317.3,55143.0,49.28,0.0,0,8.887
mc_R061608_004_c2.txt,2,ZS+S2,66528.9,57582.4,15.54,0.0,456,0.0
mc_R061608_004_c2.txt,2,M-Lin2015,83512.9,57582.4,45.03,0.0,0,8.616
mc_R061608_004_c3.txt,3,ZS+S2,65035.2,55789.6,16.57,0.0,456,0.0
mc_R061608_004_c3.txt,3,M-Lin2015,83512.9,55789.6,49.69,0.0,0,8.616
mc_R061608_005_c2.txt,2,ZS+S2,67117.4,58378.2,14.97,1.0,459,0.0
mc_R061608_005_c2.txt,2,M-Lin2015,83853.8,58378.2,43.64,0.0,0,9.239
mc_R061608_005_c3.txt,3,ZS+S2,65577.1,56520.6,16.02,3.0,459,0.0
mc_R061608_005_c3.txt,3,M-Lin2015,83853.8,56520.6,48.36,0.0,0,9.243
mc_R081606_001_c2.txt,2,ZS+S2,64079.1,58691.7,9.18,2.0,350,0.0
mc_R081606_001_c2.txt,2,M-Lin2015,75358.7,58691.7,28.4,0.0,0,8.773
mc_R081606_001_c3.txt,3,ZS+S2,63131.8,57077.1,10.61,2.0,350,0.0
mc_R081606_001_c3.txt,3,M-Lin2015,75358.7,57077.1,32.03,0.0,0,8.75
mc_R081606_002_c2.txt,2,ZS+S2,64874.0,58859.1,10.22,2.0,343,0.0
mc_R081606_002_c2.txt,2,M-Lin2015,78655.2,58859.1,33.63,0.0,0,8.738
mc_R081606_002_c3.txt,3,ZS+S2,64114.5,57217.5,12.05,2.0,343,0.0
mc_R081606_002_c3.txt,3,M-Lin2015,78655.2,57217.5,37.47,0.0,0,8.633
mc_R081606_003_c2.txt,2,ZS+S2,66095.8,59365.1,11.34,0.0,387,0.0
mc_R081606_003_c2.txt,2,M-Lin2015,81360.3,59365.1,37.05,0.0,0,9.05
mc_R081606_003_c3.txt,3,ZS+S2,64768.1,57631.7,12.38,1.0,387,0.0
mc_R081606_003_c3.txt,3,M-Lin2015,80899.7,57631.7,40.37,0.0,0,9.027
mc_R081606_004_c2.txt,2,ZS+S2,65384.3,58892.7,11.02,8.0,368,0.0
mc_R081606_004_c2.txt,2,M-Lin2015,80240.3,58892.7,36.25,0.0,0,8.725
mc_R081606_004_c3.txt,3,ZS+S2,64361.8,57267.3,12.39,14.0,368,0.0
mc_R081606_004_c3.txt,3,M-Lin2015,80240.3,57267.3,40.12,0.0,0,8.777
mc_R081606_005_c2.txt,2,ZS+S2,65940.5,59994.3,9.91,1.0,358,0.0
mc_R081606_005_c2.txt,2,M-Lin2015,80889.4,59994.3,34.83,0.0,0,8.535
mc_R081606_005_c3.txt,3,ZS+S2,64630.5,58358.1,10.75,1.0,358,0.0
mc_R081606_005_c3.txt,3,M-Lin2015,80889.4,58358.1,38.61,0.0,0,8.517
mc_R101606_001_c2.txt,2,ZS+S2,85624.8,77707.0,10.19,0.0,457,0.0
mc_R101606_001_c2.txt,2,M-Lin2015,100967.8,77707.0,29.93,0.0,0,13.228
mc_R101606_001_c3.txt,3,ZS+S2,84148.8,75617.2,11.28,1.0,457,0.0
mc_R101606_001_c3.txt,3,M-Lin2015,100904.4,75617.2,33.44,0.0,0,13.187
mc_R101606_002_c2.txt,2,ZS+S2,83556.5,76283.0,9.53,0.0,433,0.0
mc_R101606_002_c2.txt,2,M-Lin2015,100752.4,76283.0,32.08,0.0,0,12.493
