instance,n_cranes,method,cost,lb_mc,gap,interference,time_s
mc_R021608_001_c3.txt,3,M-Kim2016,25392.0,15853.7,60.16,0,0.615
mc_R021608_001_c3.txt,3,M-Leveling,23951.4,15853.7,51.08,0,1.203
mc_R021608_002_c2.txt,2,M-Kim2016,25911.9,15133.7,71.22,0,0.625
mc_R021608_002_c2.txt,2,M-Leveling,22911.3,15133.7,51.39,0,1.138
mc_R021608_002_c3.txt,3,M-Kim2016,25746.3,15353.8,67.69,0,0.637
mc_R021608_002_c3.txt,3,M-Leveling,22992.9,15353.8,49.75,0,1.11
mc_R021608_003_c2.txt,2,M-Kim2016,24282.0,16095.9,50.86,0,0.566
mc_R021608_003_c2.txt,2,M-Leveling,23483.4,16095.9,45.9,0,1.089
mc_R021608_003_c3.txt,3,M-Kim2016,24052.2,16303.1,47.53,0,0.554
mc_R021608_003_c3.txt,3,M-Leveling,23687.4,16303.1,45.29,0,1.076
mc_R021608_004_c2.txt,2,M-Kim2016,23439.3,15524.0,50.99,0,0.632
mc_R021608_004_c2.txt,2,M-Leveling,23244.9,15524.0,49.74,0,1.386
mc_R021608_004_c3.txt,3,M-Kim2016,23480.1,15733.0,49.24,0,0.719
mc_R021608_004_c3.txt,3,M-Leveling,22980.9,15733.0,46.07,0,1.102
mc_R021608_005_c2.txt,2,M-Kim2016,25538.7,15828.3,61.35,0,0.617
mc_R021608_005_c2.txt,2,M-Leveling,23024.4,15828.3,45.46,0,1.149
mc_R021608_005_c3.txt,3,M-Kim2016,25828.8,16050.3,60.92,0,0.592
mc_R021608_005_c3.txt,3,M-Leveling,23175.6,16050.3,44.39,0,1.197
mc_R041606_001_c2.txt,2,M-Kim2016,42222.8,26817.4,57.45,0,1.152
mc_R041606_001_c2.txt,2,M-Leveling,35602.0,26817.4,32.76,0,2.322
mc_R041606_001_c3.txt,3,M-Kim2016,42168.6,25958.8,62.44,0,1.23
mc_R041606_001_c3.txt,3,M-Leveling,35562.4,25958.8,37.0,0,2.102
mc_R041606_002_c2.txt,2,M-Kim2016,39564.6,25689.1,54.01,0,1.085
mc_R041606_002_c2.txt,2,M-Leveling,33115.3,25689.1,28.91,0,1.907
mc_R041606_002_c3.txt,3,M-Kim2016,39725.6,24916.9,59.43,0,1.094
mc_R041606_002_c3.txt,3,M-Leveling,33127.3,24916.9,32.95,0,2.168
mc_R041606_003_c2.txt,2,M-Kim2016,38668.1,25977.8,48.85,0,1.219
mc_R041606_003_c2.txt,2,M-Leveling,32848.4,25977.8,26.45,0,2.0
mc_R041606_003_c3.txt,3,M-Kim2016,38690.3,25248.8,53.24,0,1.089
mc_R041606_003_c3.txt,3,M-Leveling,32734.4,25248.8,29.65,0,1.892
mc_R041606_004_c2.txt,2,M-Kim2016,40435.7,25698.4,57.35,0,1.08
mc_R041606_004_c2.txt,2,M-Leveling,33286.0,25698.4,29.53,0,2.075
mc_R041606_004_c3.txt,3,M-Kim2016,40126.9,24910.0,61.09,0,0.97
mc_R041606_004_c3.txt,3,M-Leveling,33569.2,24910.0,34.76,0,2.129
mc_R041606_005_c2.txt,2,M-Kim2016,40316.2,26250.4,53.58,0,1.089
mc_R041606_005_c2.txt,2,M-Leveling,33460.6,26250.4,27.47,0,1.983
mc_R041606_005_c3.txt,3,M-Kim2016,40301.8,25435.0,58.45,0,1.086
mc_R041606_005_c3.txt,3,M-Leveling,33405.4,25435.0,31.34,0,1.921
mc_R041608_001_c2.txt,2,M-Kim2016,61347.3,36026.6,70.28,0,2.084
mc_R041608_001_c2.txt,2,M-Leveling,52631.0,36026.6,46.09,0,4.342
mc_R041608_001_c3.txt,3,M-Kim2016,61452.9,34827.8,76.45,0,2.224
mc_R041608_001_c3.txt,3,M-Leveling,52766.6,34827.8,51.51,0,4.643
mc_R041608_002_c2.txt,2,M-Kim2016,62088.2,35433.2,75.23,0,2.093
mc_R041608_002_c2.txt,2,M-Leveling,52697.0,35433.2,48.72,0,4.854
mc_R041608_002_c3.txt,3,M-Kim2016,63347.2,34153.4,85.48,0,2.254
mc_R041608_002_c3.txt,3,M-Leveling,52619.0,34153.4,54.07,0,13.458
mc_R041608_003_c2.txt,2,M-Kim2016,61739.5,34944.0,76.68,0,4.771
mc_R041608_003_c2.txt,2,M-Leveling,49192.2,34944.0,40.77,0,13.026
mc_R041608_003_c3.txt,3,M-Kim2016,61976.1,33739.8,83.69,0,5.95
mc_R041608_003_c3.txt,3,M-Leveling,49047.0,33739.8,45.37,0,9.333
mc_R041608_004_c2.txt,2,M-Kim2016,61785.3,35752.1,72.82,0,5.135
mc_R041608_004_c2.txt,2,M-Leveling,51515.3,35752.1,44.09,0,15.562
mc_R041608_004_c3.txt,3,M-Kim2016,61712.4,34488.5,78.94,0,4.884
mc_R041608_004_c3.txt,3,M-Leveling,51220.1,34488.5,48.51,0,10.335
mc_R041608_005_c2.txt,2,M-Kim2016,61112.2,35559.6,71.86,0,4.661
mc_R041608_005_c2.txt,2,M-Leveling,51775.8,35559.6,45.6,0,10.735
mc_R041608_005_c3.txt,3,M-Kim2016,60882.8,34279.8,77.61,0,4.698
mc_R041608_005_c3.txt,3,M-Leveling,51982.2,34279.8,51.64,0,12.021
mc_R061606_001_c2.txt,2,M-Kim2016,68537.6,42978.5,59.47,0,6.245
mc_R061606_001_c2.txt,2,M-Leveling,55613.2,42978.5,29.4,0,12.438
mc_R061606_001_c3.txt,3,M-Kim2016,68374.6,41736.5,63.82,0,6.001
mc_R061606_001_c3.txt,3,M-Leveling,55895.2,41736.5,33.92,0,13.072
mc_R061606_002_c2.txt,2,M-Kim2016,64843.4,42349.0,53.12,0,10.339
mc_R061606_002_c2.txt,2,M-Leveling,54853.0,42349.0,29.53,0,16.384
mc_R061606_002_c3.txt,3,M-Kim2016,64912.6,41139.4,57.79,0,8.521
mc_R061606_002_c3.txt,3,M-Leveling,54986.2,41139.4,33.66,0,12.303
mc_R061606_003_c2.txt,2,M-Kim2016,66879.0,42178.8,58.56,0,6.82
mc_R061606_003_c2.txt,2,M-Leveling,53755.2,42178.8,27.45,0,11.048
mc_R061606_003_c3.txt,3,M-Kim2016,67005.7,40958.4,63.59,0,5.189
mc_R061606_003_c3.txt,3,M-Leveling,54030.0,40958.4,31.91,0,10.368
mc_R061606_004_c2.txt,2,M-Kim2016,65884.8,42001.8,56.86,0,4.692
mc_R061606_004_c2.txt,2,M-Leveling,53449.8,42001.8,27.26,0,5.458
mc_R061606_004_c3.txt,3,M-Kim2016,65296.0,40824.6,59.94,0,1.771
mc_R061606_004_c3.txt,3,M-Leveling,53425.8,40824.6,30.87,0,3.702
mc_R061606_005_c2.txt,2,M-Kim2016,68875.4,42379.3,62.52,0,2.072
mc_R061606_005_c2.txt,2,M-Leveling,55266.1,42379.3,30.41,0,4.047
mc_R061606_005_c3.txt,3,M-Kim2016,68517.7,41137.3,66.56,0,2.123
mc_R061606_005_c3.txt,3,M-Leveling,55226.5,41137.3,34.25,0,4.486
mc_R061608_001_c2.txt,2,M-Kim2016,96939.4,56612.8,71.23,0,3.114
mc_R061608_001_c2.txt,2,M-Leveling,79249.6,56612.8,39.99,0,7.482
mc_R061608_001_c3.txt,3,M-Kim2016,96925.9,54809.2,76.84,0,3.202
mc_R061608_001_c3.txt,3,M-Leveling,78814.0,54809.2,43.8,0,7.253
mc_R061608_002_c2.txt,2,M-Kim2016,100290.0,56782.6,76.62,0,3.523
mc_R061608_002_c2.txt,2,M-Leveling,80060.8,56782.6,41.0,0,7.382
mc_R061608_002_c3.txt,3,M-Kim2016,100247.4,55016.8,82.21,0,3.439
mc_R061608_002_c3.txt,3,M-Leveling,79949.3,55016.8,45.32,0,7.446
mc_R061608_003_c2.txt,2,M-Kim2016,96687.0,56995.2,69.64,0,3.683
mc_R061608_003_c2.txt,2,M-Leveling,79791.0,56995.2,40.0,0,8.629
mc_R061608_003_c3.txt,3,M-Kim2016,96955.6,55143.0,75.83,0,3.616
mc_R061608_003_c3.txt,3,M-Leveling,79509.0,55143.0,44.19,0,13.546
mc_R061608_004_c2.txt,2,M-Kim2016,100293.6,57582.4,74.17,0,6.318
mc_R061608_004_c2.txt,2,M-Leveling,83072.8,57582.4,44.27,0,13.42
mc_R061608_004_c3.txt,3,M-Kim2016,100318.1,55789.6,79.82,0,8.075
mc_R061608_004_c3.txt,3,M-Leveling,82156.1,55789.6,47.26,0,15.855
mc_R061608_005_c2.txt,2,M-Kim2016,99882.1,58378.2,71.09,0,6.932
mc_R061608_005_c2.txt,2,M-Leveling,82531.8,58378.2,41.37,0,10.661
mc_R061608_005_c3.txt,3,M-Kim2016,99896.1,56520.6,76.74,0,4.663
mc_R061608_005_c3.txt,3,M-Leveling,82674.6,56520.6,46.27,0,10.442
mc_R081606_001_c2.txt,2,M-Kim2016,91763.6,58691.7,56.35,0,4.952
mc_R081606_001_c2.txt,2,M-Leveling,73727.1,58691.7,25.62,0,8.989
mc_R081606_001_c3.txt,3,M-Kim2016,91789.8,57077.1,60.82,0,4.653
mc_R081606_001_c3.txt,3,M-Leveling,74105.1,57077.1,29.83,0,10.666
mc_R081606_002_c2.txt,2,M-Kim2016,93449.4,58859.1,58.77,0,5.621
mc_R081606_002_c2.txt,2,M-Leveling,73979.1,58859.1,25.69,0,10.616
mc_R081606_002_c3.txt,3,M-Kim2016,93084.6,57217.5,62.69,0,7.2
mc_R081606_002_c3.txt,3,M-Leveling,73961.1,57217.5,29.26,0,10.715
mc_R081606_003_c2.txt,2,M-Kim2016,96116.3,59365.1,61.91,0,5.024
mc_R081606_003_c2.txt,2,M-Leveling,76356.5,59365.1,28.62,0,11.401
mc_R081606_003_c3.txt,3,M-Kim2016,95460.9,57631.7,65.64,0,5.053
mc_R081606_003_c3.txt,3,M-Leveling,76387.7,57631.7,32.54,0,11.606
mc_R081606_004_c2.txt,2,M-Kim2016,93821.3,58892.7,59.31,0,5.918
mc_R081606_004_c2.txt,2,M-Leveling,75477.3,58892.7,28.16,0,10.85
mc_R081606_004_c3.txt,3,M-Kim2016,93216.9,57267.3,62.78,0,5.458
