dataset,instance,method,cost,lb,gap,time_s
Lee_random,R011608_0090_002.txt,ZeroShot,6666.0,6094.8,9.37,0.656
Lee_random,R011608_0090_002.txt,Lin2015,6686.4,6094.8,9.71,0.262
Lee_random,R011608_0090_002.txt,Kim2016,7533.6,6094.8,23.61,0.255
Lee_random,R011608_0090_002.txt,Leveling,8359.2,6094.8,37.15,0.357
Lee_random,R011608_0090_002.txt,Durasevic2025,7617.6,6094.8,24.99,0.339
Lee_random,R011608_0090_002.txt,NearestStack,8796.0,6094.8,44.32,0.221
Lee_random,R011608_0090_002.txt,LowestHeight,8850.0,6094.8,45.21,0.178
Lee_random,R011608_0090_003.txt,OriginalModel,7060.8,6386.4,10.56,0.677
Lee_random,R011608_0090_003.txt,ZeroShot,6912.0,6386.4,8.23,0.703
Lee_random,R011608_0090_003.txt,Lin2015,7190.4,6386.4,12.59,0.255
Lee_random,R011608_0090_003.txt,Kim2016,7305.6,6386.4,14.39,0.246
Lee_random,R011608_0090_003.txt,Leveling,9064.8,6386.4,41.94,0.459
Lee_random,R011608_0090_003.txt,Durasevic2025,8175.6,6386.4,28.02,0.384
Lee_random,R011608_0090_003.txt,NearestStack,9837.6,6386.4,54.04,0.241
Lee_random,R011608_0090_003.txt,LowestHeight,8907.6,6386.4,39.48,0.181
Lee_random,R011608_0090_004.txt,OriginalModel,6709.2,6234.0,7.62,0.597
Lee_random,R011608_0090_004.txt,ZeroShot,6607.2,6234.0,5.99,0.647
Lee_random,R011608_0090_004.txt,Lin2015,6716.4,6234.0,7.74,0.273
Lee_random,R011608_0090_004.txt,Kim2016,7352.4,6234.0,17.94,0.232
Lee_random,R011608_0090_004.txt,Leveling,8260.8,6234.0,32.51,0.426
Lee_random,R011608_0090_004.txt,Durasevic2025,7315.2,6234.0,17.34,0.323
Lee_random,R011608_0090_004.txt,NearestStack,9514.8,6234.0,52.63,0.244
Lee_random,R011608_0090_004.txt,LowestHeight,8517.6,6234.0,36.63,0.173
Lee_random,R011608_0090_005.txt,OriginalModel,6814.8,6180.0,10.27,0.606
Lee_random,R011608_0090_005.txt,ZeroShot,6752.4,6180.0,9.26,0.657
Lee_random,R011608_0090_005.txt,Lin2015,6966.0,6180.0,12.72,0.283
Lee_random,R011608_0090_005.txt,Kim2016,7400.4,6180.0,19.75,0.264
Lee_random,R011608_0090_005.txt,Leveling,8896.8,6180.0,43.96,0.422
Lee_random,R011608_0090_005.txt,Durasevic2025,7488.0,6180.0,21.17,0.407
Lee_random,R011608_0090_005.txt,NearestStack,8930.4,6180.0,44.5,0.269
Lee_random,R011608_0090_005.txt,LowestHeight,9388.8,6180.0,51.92,0.215
Lee_random,R020306_0020_001.txt,OriginalModel,1331.7,1215.3,9.58,0.118
Lee_random,R020306_0020_001.txt,ZeroShot,1370.4,1215.3,12.76,0.112
Lee_random,R020306_0020_001.txt,Lin2015,1523.1,1215.3,25.33,0.038
Lee_random,R020306_0020_001.txt,Kim2016,1534.2,1215.3,26.24,0.033
Lee_random,R020306_0020_001.txt,Leveling,1331.7,1215.3,9.58,0.039
Lee_random,R020306_0020_001.txt,Durasevic2025,2065.5,1215.3,69.96,0.041
Lee_random,R020306_0020_001.txt,NearestStack,2318.1,1215.3,90.74,0.041
Lee_random,R020306_0020_001.txt,LowestHeight,1700.1,1215.3,39.89,0.028
Lee_random,R021606_0140_001.txt,OriginalModel,13067.1,12373.5,5.61,1.037
Lee_random,R021606_0140_001.txt,ZeroShot,12935.4,12373.5,4.54,0.928
Lee_random,R021606_0140_001.txt,Lin2015,13979.7,12373.5,12.98,0.449
Lee_random,R021606_0140_001.txt,Kim2016,16567.8,12373.5,33.9,0.461
Lee_random,R021606_0140_001.txt,Leveling,14647.5,12373.5,18.38,0.732
Lee_random,R021606_0140_001.txt,Durasevic2025,18811.2,12373.5,52.03,0.539
Lee_random,R021606_0140_001.txt,NearestStack,18510.6,12373.5,49.6,0.324
Lee_random,R021606_0140_001.txt,LowestHeight,18057.0,12373.5,45.93,0.226
Lee_random,R021606_0140_002.txt,OriginalModel,12594.3,11612.7,8.45,0.883
Lee_random,R021606_0140_002.txt,ZeroShot,12429.9,11612.7,7.04,0.892
Lee_random,R021606_0140_002.txt,Lin2015,13254.3,11612.7,14.14,0.449
Lee_random,R021606_0140_002.txt,Kim2016,15620.1,11612.7,34.51,0.393
Lee_random,R021606_0140_002.txt,Leveling,14180.7,11612.7,22.11,0.627
Lee_random,R021606_0140_002.txt,Durasevic2025,17491.5,11612.7,50.62,0.6
Lee_random,R021606_0140_002.txt,NearestStack,18361.5,11612.7,58.12,0.31
Lee_random,R021606_0140_002.txt,LowestHeight,18326.7,11612.7,57.82,0.234
Lee_random,R021606_0140_003.txt,OriginalModel,13151.4,12305.4,6.88,0.909
Lee_random,R021606_0140_003.txt,ZeroShot,12706.8,12305.4,3.26,0.901
Lee_random,R021606_0140_003.txt,Lin2015,15763.2,12305.4,28.1,0.422
Lee_random,R021606_0140_003.txt,Kim2016,16034.1,12305.4,30.3,0.428
Lee_random,R021606_0140_003.txt,Leveling,14734.2,12305.4,19.74,0.733
Lee_random,R021606_0140_003.txt,Durasevic2025,19063.5,12305.4,54.92,0.526
Lee_random,R021606_0140_003.txt,NearestStack,22031.1,12305.4,79.04,0.372
Lee_random,R021606_0140_003.txt,LowestHeight,20846.7,12305.4,69.41,0.288
Lee_random,R021606_0140_004.txt,OriginalModel,13939.8,12949.8,7.64,1.219
Lee_random,R021606_0140_004.txt,ZeroShot,13856.4,12949.8,7.0,1.111
Lee_random,R021606_0140_004.txt,Lin2015,15775.2,12949.8,21.82,0.617
Lee_random,R021606_0140_004.txt,Kim2016,17880.6,12949.8,38.08,0.548
Lee_random,R021606_0140_004.txt,Leveling,15839.4,12949.8,22.31,0.8
Lee_random,R021606_0140_004.txt,Durasevic2025,20304.9,12949.8,56.8,0.569
