dataset,instance,method,cost,lb,gap,time_s
Lee_upsidedown,R021608_0190_002.txt,Kim2016,28915.8,18241.5,58.52,0.907
Lee_upsidedown,R021608_0190_002.txt,Leveling,23390.7,18241.5,28.23,2.648
Lee_upsidedown,R021608_0190_002.txt,Durasevic2025,33014.7,18241.5,80.99,3.231
Lee_upsidedown,R021608_0190_002.txt,NearestStack,36241.2,18241.5,98.67,1.389
Lee_upsidedown,R021608_0190_002.txt,LowestHeight,33354.0,18241.5,82.85,2.902
Lee_upsidedown,R041606_0280_001.txt,OriginalModel,31450.2,30541.8,2.97,6.549
Lee_upsidedown,R041606_0280_001.txt,ZeroShot,30965.0,30541.8,1.39,6.277
Lee_upsidedown,R041606_0280_001.txt,Lin2015,38589.5,30541.8,26.35,9.313
Lee_upsidedown,R041606_0280_001.txt,Kim2016,48216.2,30541.8,57.87,4.15
Lee_upsidedown,R041606_0280_001.txt,Leveling,35183.4,30541.8,15.2,6.845
Lee_upsidedown,R041606_0280_001.txt,Durasevic2025,51366.7,30541.8,68.18,5.2
Lee_upsidedown,R041606_0280_001.txt,NearestStack,56805.5,30541.8,85.99,1.842
Lee_upsidedown,R041606_0280_001.txt,LowestHeight,52188.9,30541.8,70.88,2.081
Lee_upsidedown,R041606_0280_002.txt,OriginalModel,31838.2,30470.2,4.49,6.636
Lee_upsidedown,R041606_0280_002.txt,ZeroShot,31682.7,30470.2,3.98,7.153
Lee_upsidedown,R041606_0280_002.txt,Lin2015,39628.8,30470.2,30.06,3.909
Lee_upsidedown,R041606_0280_002.txt,Kim2016,46464.9,30470.2,52.49,5.189
Lee_upsidedown,R041606_0280_002.txt,Leveling,34763.8,30470.2,14.09,6.429
Lee_upsidedown,R041606_0280_002.txt,Durasevic2025,50429.7,30470.2,65.51,4.541
Lee_upsidedown,R041606_0280_002.txt,NearestStack,55517.9,30470.2,82.2,1.841
Lee_upsidedown,R041606_0280_002.txt,LowestHeight,52968.3,30470.2,73.84,1.514
Lee_upsidedown,R041608_0380_001.txt,OriginalModel,45800.3,43109.9,6.24,13.242
